Participant Legal Business Name,ACO Legal or Name/Doing Business As,ACO Address,ACO Service Area,ACO Website Address,ACO Executive Name,ACO Executive Email,ACO Executive Phone,ACO Public Contact Name,ACO Public Contact Email,ACO Public Contact Phone
Vegas Valley Primary Care,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Absolute Foot Care Specialists Inc,"A.M. Beajow, M.D. Internal Medicine Associates ACO, P.C","955 Grier Drive, Ste. A, Las Vegas, Nevada 89119",Nevada,www.imanvaco.com,Mahfoud Beajow,mbeajowmd@imalv.com,(702) 792-4336,Rachelle Puckett,rachelle@hc360usa.com,(702) 792-4336
Anne Arundel Physician Group,AAMC Collaborative Care Network,"2001 Medical Parkway, Annapolis, Maryland 21401",Maryland,www.aamssp.org,Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190
"AAMC Community Clinics, LLC",AAMC Collaborative Care Network,"2001 Medical Parkway, Annapolis, Maryland 21401",Maryland,www.aamssp.org,Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190
Anne Arundel Medical Center,AAMC Collaborative Care Network,"2001 Medical Parkway, Annapolis, Maryland 21401",Maryland,www.aamssp.org,Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190
Annapolis Internal Medicine,AAMC Collaborative Care Network,"2001 Medical Parkway, Annapolis, Maryland 21401",Maryland,www.aamssp.org,Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190
"Andrew S. Dobin, MD PA",AAMC Collaborative Care Network,"2001 Medical Parkway, Annapolis, Maryland 21401",Maryland,www.aamssp.org,Mitchell Schwartz,mschwartz@aahs.org,(443) 481-1308,Thomas Pianta,tpianta@aahs.org,(443) 510-3190
California Cardiovascular and Thoracic Surgeons,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Central Coast Vascular,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Gulnar P. Poorsatter,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Lois Barnes MD Inc.,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Stephen Hausrath,"Adirondacks ACO, LLC","75 Beekman Street, Plattsburgh, New York 12901",New York,,Karen Ashline,kashline@cvph.org,(518) 314-3663,Karen Ashline,KAshline@cvph.org,(518) 314-3663
Wellspring Family Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Sandhya Patel,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura Emergency Physicians,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"Central Coast Radiology Associates, Inc.","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura Orthopedic Spine,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura Care Partners,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Sandhya Patel,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Joel M Corwin Apc,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
William A Speitel,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Westside Family Practice,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
General Surgery Medical Group of Ventura County,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"James Hornstein, M.D.","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ojai Valley Family Medicine Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"James D. Woodburn, III, MD","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura Pulmonary And Critical Care Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
PMK Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"Arthur M Inoshita, MD","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Valley Oak Family Practice Medical Grp,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Thomas F Golden Apc,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Robert T Mazurek MD,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Cardiology Associates Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"CS Rayhrer MD, APC","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Addison Mizner Medical LLC,ACMG,"6355 NW 36 Street, Suite 604, Virginia Gardens, FL, Florida 33166","Florida, Georgia",,Chris Pertierra,ACMGroupFL@aol.com,(786) 427-1037,Susan Fernandez,SFernandez@ACMGroupfl.com,(786) 427-1037
Allergy Care Center A Medical Corporation,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Garrett M Snyder Apc,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Community Memorial Health System,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura Cardiology Consultants Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"Bruce A Woodling MD, Inc","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Ventura County Obstetric And Gynecologic Medical Group,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"I. Grossman, M.D., Inc.","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"Stanley Frochtzwajg, M.D.","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Covington Menz Lyche Lin Pedraza Hazan Mds,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Kenneth Hartenstein M.D.,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
"MD Sparkuhl, MD, Inc.","Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Michael D Began Apc,"Accountable Care Alliance of Ventura, LLC","147 North Brent Street, Ventura, California 93003",California,,Will Garand,wgarand@cmhshealth.org,(805) 652-5009,Will Garand,wgarand@cmhshealth.org,(805) 652-5009
Nesheiwat Medical Practice PC,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Adam A Paszkowski,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"John J. Murphy, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Piamarie Ballarin-Feldman M.D., P.C.","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
William S. Friedman,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Leominster Medical Associates,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Robert A. Babineau, Jr. MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Edward Kamens, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Robert Lebow, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Grove Medical Associates PC,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"James P. Figueroa, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Charlton Family Practice,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"William Dunn, DO","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Pulmonary & Intarnal Medicine,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Raymond K. Sauls, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Family Practice Associates,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Vasuki Radhakrishnan, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Stephen Child, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Middlesex Hospital,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
St. Vincent's Medical Center,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Griffin Hospital,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Gastroenterology Associates Of Fairfield,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Santiago Escobar MD,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Carlos Schweitzer, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Family Healthcare Assoc,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Reuven Rudich MD, PC","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
William B Fitzgerald MD,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
R Daniel Davis Mark Schickler Family Podiatry Center,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Vincent Delia Manjoney Partnership,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Philip Simkovitz MD,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Gerald Fette, MD","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"Associated Physicians of Southbury, PC","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Vincent A Manjoney MD,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
"John Farens, MD, PC","Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Pulmonary & Internal Medicine of Fairfield County PC,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Colon and Rectal Surgeons Of Fairfield County,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Robin Mahabir MD PC,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
Griffin Faculty Practice,"Accountable Care Clinical Services, PC","One Monarch Place, Suite 1000, Springfield, Massachusetts 01144","California, Connecticut, Iowa, Massachusetts, Pennsylvania",www.accsfirst.com,Philip Gaziano,pgaziano@acafirst.com,(413) 734-2000 x2501,Robert Wiles,RWILES@ACAFIRST.COM,(413) 734-2000 x2650
