ACO Doing Business As (DBA) or Legal Business Name (LBN),States Where Beneficiaries Reside ,Agreement Start Date,Track,Participate in Advance Payment Model , Total Assigned Beneficiaries ,Total Benchmark Expenditures,Total Expenditures,Total Benchmark Expenditures Minus Total Assigned Beneficiary Expenditures,Total Benchmark Minus Assigned Beneficiary Expenditures as % of Total Benchmark,"Generated Savings/Losses1,2","Earned Shared Savings Payments/Owe Losses3,4",Successfully Reported Quality5,Quality Score6,ACO-1,ACO-2,ACO-3,ACO-4,ACO-5,ACO-6,ACO-7,ACO-8^,ACO-9^,ACO-10^,ACO-11,ACO-12,ACO-13,ACO-14,ACO-15,ACO-16,ACO-17,ACO-18,ACO-19,ACO-20,ACO-21,DM Composite,ACO-22,ACO-23,ACO-24,ACO-25,ACO-26,ACO-27^,ACO-28,ACO-29,ACO-30,ACO-31,CAD Composite,ACO-32,ACO-33
"Accountable Care Coalition of Greater Houston, LLC.",Texas,01/01/2014,Track1,No,9766,$95446803,$95774423,$-327619,-0.34%,,-,Yes,P4R,73.26,92.7,91.28,83.82,56.29,72.37,72.86,15.64,1.35,1.17,5.71,98.31,10.49,37.66,20.26,37.53,52.13,4.03,34.84,25.72,25.85,9.68,47.31,37.1,68.28,48.66,77.78,46.77,71,39.91,74.68,65.22,39.63,45.73,67.15
"Accountable Care Coalition of Greater New York, LLC.",New York,01/01/2014,Track1,No,6353,$48347207,$49705909,$-1358702,-2.81%,,-,Yes,P4R,77.12,89.83,89.21,80.46,55.58,69.94,70.87,16.04,0.99,0.87,47.92,91.04,25.27,61.21,43.43,53.77,67.36,15.41,51.14,51.2,48.67,23.15,72.78,55.37,79.26,57.22,61.36,19.78,79.64,60.92,79.31,100,68.35,76.98,82.5
"Accountable Care Coalition of Green Mountains, LLC",Vermont,07/01/2012,Track1,No,7639,$56724584,$59486632,$-2762048,-4.87%,,-,Yes,92.10%,85.4,93.06,91.71,82.85,62.14,77.29,73.16,14.63,0.61,1.12,96.88,92.72,41.82,63.81,68.15,60.96,92.48,50.8,68.22,66.12,39.54,26.53,78.61,56.04,67.13,85.94,84.49,11.68,63.73,58.12,92.18,72.73,59.43,67.71,65.75
"Accountable Care Coalition of Maryland Primary Care, LLC.","District of Columbia,  Maryland",01/01/2014,Track1,No,5823,$106559484,$99778365,$6781118,6.36%,$6781118,"$3,322,748 ",Yes,P4R,83.63,88.94,88.56,83.62,56.84,74.79,72.23,15.64,1.99,1.7,64,79.31,51.76,55.58,58.19,62.32,84.06,52.41,52.68,51.96,56.65,28.18,71.82,60.08,69.67,79.45,88.43,19.04,64.29,69.21,86.03,81.4,64.69,73.16,74.05
"Accountable Care Coalition of Maryland, LLC.",Maryland,07/01/2012,Track1,No,12997,$126794858,$122833547,$3961312,3.12%,$3961312,"$1,400,324 ",Yes,72.14%,77.24,91.26,90.14,81.25,53.89,70.9,71.95,14.64,1.57,1.43,80,71.86,10.08,48.91,27.56,52.95,71.33,1.06,63.03,47.17,35.88,18.87,69.26,58.56,63.23,60.89,80.57,22.37,61.55,57.41,85.18,84.17,74.06,80.99,83.97
"Accountable Care Coalition of Mississippi, LLC.",Mississippi,01/01/2014,Track1,No,5570,$44547295,$42088737,$2458558,5.52%,$2458558,"$1,204,693 ",Yes,P4R,69.51,90.78,88.58,80.6,57.22,69.55,69.3,14.82,0.84,1.47,,92.04,12.24,46.02,21.6,70.96,90.02,36.12,32.61,39.51,58.65,8.02,49.06,29.25,53.77,76.42,88,40.38,50.97,41.67,86.11,91.67,51.97,55.26,85.71
"Accountable Care Coalition of Mount Kisco, LLC","New York,  Connecticut",04/01/2012,Track1,No,14481,$117547029,$126202612,$-8655583,-7.36%,,-,Yes,84.94%,79.58,94.66,93.46,86.13,51.84,75.1,75.37,15.18,1.27,1.05,98.28,94.89,20.56,65.83,59.97,63.76,87.95,10.82,59.17,56.49,38.46,33.78,80.07,71.96,75.17,77.87,79.75,11.11,72.6,65.9,81.79,98.25,69.86,76.25,82.61
"Accountable Care Coalition of North Central Florida, LLC.",Florida,01/01/2013,Track1,No,5328,$57219042,$59519640,$-2300598,-4.02%,,-,No,0.00%,,,,,,,,16.33,1.43,1.43,88,99.6,53.27,65.5,56.42,88.74,93.84,44.65,64.19,59.06,64.24,21.79,73.72,54.49,63.89,83.76,82.64,16.17,59.31,61.05,85.61,98.25,73.54,82.01,80.22
"Accountable Care Coalition of North Texas, LLC.",Texas,01/01/2013,Track1,No,6274,$68405694,$64757894,$3647800,5.33%,$3647800,"$1,382,659 ",Yes,77.35%,78.34,90.78,90.5,83.77,57.58,73.97,68.27,14.67,0.95,1.08,30.23,90.74,20.22,41.82,30.55,47.91,67.21,8.16,31.77,30.22,32.88,12.68,61.73,51.37,68.29,58.14,65.81,27.43,64.33,48.24,76.38,48.57,47.63,53.68,73.96
"Accountable Care Coalition of Northwest Florida, LLC","Alabama,  Florida",07/01/2012,Track1,No,9725,$98278374,$95920540,$2357834,2.4%,,-,Yes,87.71%,81.63,94.03,93.46,83.97,60.68,77.66,66.71,15.16,1.29,1.1,72,96.37,39.74,50.58,41.56,75.58,89.19,17.44,61.8,60.65,52.48,26.01,73.26,56.96,68.32,79.67,86.29,18.8,62.92,59.04,88.56,82.76,65.94,74.02,76.99
"Accountable Care Coalition of South Georgia, LLC.","Georgia,  Florida",01/01/2013,Track1,No,8227,$62791803,$61049985,$1741818,2.77%,,-,Yes,84.98%,83.46,93.62,93.56,82.76,57.31,72.02,72.3,14.31,1.12,1.03,59.09,96.98,69.51,72.35,69.22,76.97,92.17,61.74,75.6,66.42,73.23,26.6,74.11,62.59,64.72,77.48,88.95,14.44,65.06,69.82,92.63,88.89,75.44,84.87,72.91
"Accountable Care Coalition of Southeast Wisconsin, LLC",Wisconsin,04/01/2012,Track1,No,11396,$178155185,$166439439,$11715745,6.58%,$11715745,"$4,425,989 ",Yes,77.10%,84.92,91.32,90.6,85.6,55.41,75.33,68.72,15.9,1.1,1.44,40.28,87.5,44.73,47.92,52.85,46.27,72.64,26.2,39.39,42.16,44.84,17.53,54.58,42.03,65.94,70.92,89.4,37.28,62.17,49.35,87.61,79.76,52.27,63.64,67.65
"Accountable Care Coalition of Syracuse, LLC",New York,07/01/2012,Track1,No,12729,$93080190,$93682872,$-602683,-0.65%,,-,Yes,91.61%,86.21,94.11,93.14,85.75,58.84,78.81,72.63,15.11,0.76,1.44,92.06,80.59,74.58,81.11,84.78,84.69,89.67,66.73,68.76,74.21,61.2,39.53,78.87,71.95,79.05,80.87,96.88,10.38,77.19,74.29,93.88,77.14,76.86,84.31,79.75
"Accountable Care Coalition of Texas, Inc.",Texas,04/01/2012,Track1,No,21859,$241841488,$225800170,$16041318,6.63%,$16041318,"$6,335,569 ",Yes,80.60%,74.91,90.4,90.27,86.54,54.6,71.78,67.59,13.76,0.88,1.03,65.83,94.27,30.82,59.14,51.95,60.14,78.9,17.68,57.99,44.28,39.68,19.96,59.44,55.36,66.74,68.88,77.22,29.4,69.57,51.44,79.81,69.62,56.1,63.41,73.02
"Accountable Care Coalition of The Tri-Counties, LLC",South Carolina,07/01/2012,Track1,No,19830,$183185832,$180541229,$2644603,1.44%,,-,Yes,87.71%,80.15,93.79,93.06,82.21,59.56,75.65,74.21,15.6,1.36,1.27,91.8,98.6,17.53,50.17,38.53,64.63,69.13,57.07,59.44,62.06,36.34,19.61,70.81,57.73,71.24,62.53,67.38,18.95,63.62,61.6,81.6,57.98,59.82,68.65,72.28
"Accountable Care Coalition of Western Georgia, LLC","Georgia,  Alabama",01/01/2013,Track1,No,4530,$46815542,$46062136,$753407,1.61%,,-,Yes,84.68%,72.22,91.87,91.33,86.16,60.66,71.45,69.19,14.43,0.94,1.06,89.66,87.5,38.2,59.39,38.93,70.95,81.31,21.46,45.07,48.14,50.79,18.53,52.97,49.88,63.42,77.2,81.89,37.68,62.47,55.32,86.63,84.21,61.52,68.61,79.23
"Accountable Care Options, LLC",Florida,07/01/2012,Track1,No,6683,$88355136,$78412243,$9942893,11.25%,$9942893,"$4,416,897 ",Yes,90.66%,81.32,92.12,90.77,86.17,59.2,77.26,70.19,15.36,1.39,1.08,61.54,91.63,78.24,61.64,60.96,92.98,96.37,73.29,54.99,71.09,95.25,41.3,79.74,68.57,78.7,83.64,91.43,10.27,76.01,71.92,88.96,78.38,87.32,94.04,80.98
"Accountable Care Organization of New England, LLC","Massachusetts,  Connecticut",01/01/2013,Track1,No,11499,$130960604,$133615397,$-2654793,-2.03%,,-,Yes,80.27%,76.09,89.06,89.65,79.96,60.32,70.65,69.89,15.37,1.37,1.8,69.23,57.83,45,58.14,52.91,58.1,81.33,35.18,60.37,66.56,50,24.75,70.43,58.97,72.26,72.76,77.22,18.44,71.84,62.89,78.66,63.11,64.38,72.2,64.36
"Accountable Care Organization of Puerto Rico, Inc.",Puerto Rico,01/01/2013,Track1,No,6923,$35895312,$33625188,$2270124,6.32%,$2270124,-,No,0.00%,76.79,94.17,95.39,80.72,60.45,73.72,60.25,15.76,0.82,1.55,11.28,,,,,,,,,,,,,,,,,,,,,,,,
"Accountable Care Organization of the North Country, LLC",New York,04/01/2012,Track1,No,5061,$40259112,$42945557,$-2686445,-6.67%,,-,Yes,88.82%,78.9,93.38,93.68,83.85,60.46,76.9,73.26,15.09,1.66,1.06,61.11,68.09,57.56,72.81,70.51,82.25,93.81,56.44,73.21,78.17,66.82,30.26,78.72,62.41,75.65,75.18,89.87,9.95,72.44,65.81,90.47,81.4,75.18,84.94,75.48
"Accountable Care Partners, LLC",Florida,07/01/2012,Track1,Yes,6244,$60719613,$60220432,$499181,0.82%,,-,Yes,85.19%,82.8,91.44,91.03,83.45,60.24,72.06,68.34,15.36,1.03,1.37,80,83,67.61,58.86,63.56,69.49,89.38,94.46,65.36,68.64,94.31,27.44,71.55,50.34,74.07,83.33,80.47,21.55,71.11,54.3,87.39,92.86,72.31,79,83.13
"Accountable Healthcare Alliance, PC",Michigan,07/01/2012,Track1,No,5485,$55486201,$54586536,$899665,1.62%,,-,Yes,89.12%,81.02,93.45,91.96,85.48,56.98,74.73,71.53,15.57,1.4,1.25,89.66,96.15,46.26,68.5,57.07,79.63,93.13,47.12,53.5,56.13,84.96,28.04,71.62,59.29,74.66,78.89,75.58,15.2,72.47,53.78,78.21,94.64,76.11,83.72,81.18
"Accountable Physicians of North Mississippi, Inc.",Mississippi,01/01/2014,Track1,No,8940,$76548064,$76767454,$-219390,-0.29%,,-,Yes,P4R,81.71,94.03,93.78,83.12,51.65,73.37,70.32,15.16,1.29,1.07,47.06,96.43,11.55,41.78,17.6,53.62,75.45,13.37,47.93,46.35,57.05,20.73,71.64,49.09,64.84,73.13,81.98,20.36,59.47,50.85,90.7,86.05,65.23,75.96,74.62
ACMG,"Florida,  Georgia",01/01/2014,Track1,No,6712,$99672607,$101517837,$-1845230,-1.85%,,-,Yes,P4R,81.01,95.51,93.73,88.87,63.47,77.38,68.76,17.75,1.32,1.5,36.76,97.76,43.4,10.41,3.76,63.6,82.39,32.57,30.11,28.31,61.52,8.67,50.48,34.87,55.3,36.99,67.57,39.42,55.62,28.63,41.47,76.09,36.83,41.77,80.34
"ACO Health Partners, LLC","New Jersey,  Pennsylvania,  Florida",01/01/2013,Track1,Yes,12703,$148812807,$142336507,$6476300,4.35%,$6476300,"$2,715,442 ",Yes,85.57%,78.56,93.28,91.54,86.13,58.22,74.88,68.53,15.22,1.31,1.15,52.31,91.94,42.83,57.46,38.83,75.14,87.95,28.01,38.73,54.46,85.55,21.71,67.05,49.03,70.16,82.56,86.92,23.36,68.92,58.18,88.99,100,81.61,89.02,79.9
ACO Providers,Texas,01/01/2014,Track1,No,7121,$77288621,$80419119,$-3130498,-4.05%,,-,Yes,P4R,78.26,92.14,90.52,83.72,62.97,80.29,69.72,14.9,0.97,1.25,64.29,95.82,22.76,37.68,34.69,67.15,88.15,12.6,40.71,44.99,40.04,22.32,65.34,52.81,66.61,82.76,51.58,24.5,64.85,52.94,57.19,89.29,50.97,55.98,66.84
ACONA,Alabama,01/01/2014,Track1,No,7768,$76863114,$77069694,$-206580,-0.27%,,-,Yes,P4R,82.96,95.04,94.62,85.49,54.2,73.92,68.74,15.55,0.87,1.19,68.42,88.51,30.33,33.79,32.5,61.37,86.51,28.92,39.8,37.71,64.49,18.11,64.45,47.18,60.96,76.91,80.75,28.81,61.53,46.86,81.96,89.34,60.33,70.32,64.82
"Adirondacks ACO, LLC",New York,01/01/2014,Track1,No,27412,$241068567,$243472685,$-2404118,-1%,,-,Yes,P4R,83.3,94.48,93.64,83.79,64.3,79.38,71.25,14.82,0.98,1.22,74.84,95.03,34.84,69.96,67.12,71.4,97.44,48.12,67.23,71.69,58.15,28.74,73.09,59.97,75.08,80.56,91.52,14.45,71.63,64.01,91.13,87.97,87.63,95.29,80.83
Advocare Well Network,New Jersey,01/01/2013,Track1,No,15121,$167795290,$174971899,$-7176609,-4.28%,,-,Yes,88.75%,80.88,94.05,93.15,85.16,58.49,76.5,70.65,15.98,1.29,1.32,86.57,,28.78,54.4,65.04,69.71,92.35,10.42,53.59,53.01,88.63,23.18,67.65,58.13,71.11,67.82,62.81,17.82,70.95,56.83,79.8,90.77,56.97,58.16,69.05
"Advocate Physician Partners Accountable Care, Inc.",Illinois,07/01/2012,Track1,No,135350,$1480187677,$1485462281,$-5274604,-0.36%,,-,Yes,90.96%,83.69,92.9,92.68,83.49,61.45,74.66,71.28,15.45,1.32,1.17,85.13,78.99,60.37,60.81,57.79,82.17,97.47,75.27,63.33,65.28,77.22,32.94,77.47,62.12,72.87,87.03,87.08,13.65,76.13,68.13,84.43,90.97,68.65,75.41,76.72
"Affiliated Physicians Medical Group ACO, Inc.",California,01/01/2013,Track1,No,7629,$110178814,$107542123,$2636692,2.39%,,-,No,0.00%,,,,,,,,14.59,1.07,0.72,56.82,,,,,,,,,,,,,,,,,,,,,,,,
Akira Health of Fresno Inc.,California,01/01/2014,Track1,No,3498,$75366972,$85460298,$-10093326,-13.39%,,-,Yes,P4R,78.27,91.83,91.35,77.82,55.31,78.36,68.58,16.56,1.25,1.34,68.97,,0.53,5.32,8.05,0,17.25,0,21.63,34.47,0,0,0,0,0,10.53,0,100,0,0,0.5,,0.98,0.33,0
"Akira Health, Inc.",California,01/01/2013,Track1,No,8906,$134923842,$142269634,$-7345792,-5.44%,,-,Yes,80.94%,84.07,92.96,92.53,84.77,64.01,77.49,73.1,16.05,0.94,1.26,47.62,97.37,40.09,41.88,43.45,76.18,58.31,27.33,50.83,60.4,88.11,21.77,68.03,58.05,66.67,75.74,69.64,23.81,62.1,58.76,58.06,72.37,69.27,75.46,74.31
"Alegent Health Partners, LLC","Iowa,  Nebraska",01/01/2013,Track1,No,25954,$220576183,$219424792,$1151391,0.52%,,-,Yes,87.76%,81.22,93.89,93.57,84.01,56.53,74.07,74.19,15.1,1.76,1.17,94.41,97.61,43.54,60.72,62.93,54.55,87.48,41.3,48.26,67.43,53.72,35.21,78.35,66.45,74.05,77.69,90.48,10.41,72.39,69.23,96.15,93.46,69.37,78.5,76.79
Alexian Brothers Accountable Care Organization,Illinois,01/01/2013,Track1,No,41818,$546421619,$551145528,$-4723908,-0.86%,,-,Yes,88.48%,84.44,94.22,94.2,84.44,63.45,76.19,72.84,15.94,1.28,1.19,84.17,61.38,44.33,49.69,47.21,55.36,81.87,39.14,36,49.77,31.63,33.1,67.85,62.41,77.3,75.89,78.26,18.35,75.6,56.87,77.11,77.78,56.8,67.3,59.57
"Allcare Options, LLC",Florida,07/01/2012,Track1,No,7288,$108466811,$91480517,$16986294,15.66%,$16986294,"$6,058,533 ",Yes,72.79%,79.32,89.64,88.36,83.46,54.49,74.89,68.69,16.03,1.7,1.39,65.22,93,8.97,23.01,22.58,61.5,86.46,44.82,40.14,56.62,50.29,22.91,68.03,58.97,69.57,70.09,75.54,22.71,66.73,57.87,82.21,94.64,57.95,71.85,67.63
Allegiance ACO,"Pennsylvania,  New Jersey",01/01/2014,Track1,No,5466,$64497936,$68527260,$-4029324,-6.25%,,-,Yes,P4R,85.25,92.44,92.72,83.73,59.1,74.28,69.98,15.48,1.68,1.58,80.77,100,10.42,62.54,21.49,19.07,93.42,7.2,22.26,48.93,51.63,8.98,39.79,36.44,47.01,35.21,82.93,53.73,51.78,32.82,16.12,100,14.17,31.63,13.62
"Allied Physicians ACO, LLC",California,01/01/2014,Track1,No,4479,$58653026,$60549370,$-1896344,-3.23%,,-,Yes,P4R,81.78,90.37,87.4,81.24,57.18,70.88,65.06,15.55,0.82,1.18,51.16,99.17,15.33,29.91,33.39,52.62,65.67,11.86,25.64,35.78,80.8,20.18,65.79,45.32,71.93,55.56,70.97,28.12,64.19,38.89,62.22,81.82,70.39,73.6,79.2
Amarillo Legacy Medical ACO,Texas,01/01/2013,Track1,No,11356,$94905701,$97781460,$-2875759,-3.03%,,-,Yes,86.89%,81.83,93.51,91.99,86.19,54.26,76.1,70.82,14.1,0.74,0.97,91.18,91.03,28.27,43.28,45.11,58.14,89.25,21.82,40.56,53.58,40.87,12.63,69.53,46.46,70.71,66.16,70.69,19.66,71.3,45.68,79.11,80,45.05,49.73,75
"American Health Alliance, LLC",Florida,01/01/2013,Track1,Yes,7981,$93500848,$88744447,$4756401,5.09%,$4756401,"$1,906,648 ",Yes,81.81%,82.31,90.57,89.88,81.18,54.61,75.63,73.21,15.6,0.88,1.38,68.42,97.01,27.57,54.32,49.66,75.13,89.47,44.72,46.9,67.46,83.83,25.44,66.38,54.36,73.87,80.66,74.56,27.87,70.75,54.05,79.35,69.72,73.6,83.68,75.58
American Health Network of Ohio PC,Ohio,01/01/2013,Track1,Yes,8020,$92955781,$91314498,$1641283,1.77%,,-,Yes,85.17%,83.64,91.68,90.83,82.57,56.75,73.19,72.06,14.89,1.57,1.31,83.33,42.57,48.45,63.91,60.71,51.57,95.32,34.86,57.11,41.72,39.46,18,62.5,50,68,59.83,47.55,27.5,71.15,55.77,63.7,85.71,50.1,48.69,72.73
"AnewCare Collaborative, LLC","Virginia,  Tennessee",07/01/2012,Track1,No,20190,$187876724,$179751608,$8125117,4.32%,$8125117,"$3,485,421 ",Yes,87.54%,83.23,93.21,91.91,83.02,55.62,74.57,68.16,16.41,1.24,1.26,79.25,87.9,52.69,72.51,62.15,73.2,92.97,33.13,54.64,68.13,70.22,23.01,70.2,55.79,64.24,79.3,84.75,19.37,63.04,57.31,86.39,91.54,74.3,77.44,88.85
Antelope Valley ACO,California,01/01/2014,Track1,No,4841,$61575780,$59432292,$2143488,3.48%,,-,Yes,P4R,76.51,89.3,90.25,85.27,55.79,72.62,66.56,14.39,1.2,1.55,44.44,98.4,40.47,54.44,49.56,70.74,86.88,19.08,50.98,54.11,87.67,25,65.5,51.94,59.11,81.2,73.64,25.42,63.43,56.81,78.29,92.5,73.93,80.39,86.61
"APCN-ACO, A MEDICAL PROFESSIONAL CORPORATION",California,01/01/2013,Track1,No,10771,$142304473,$143457029,$-1152555,-0.81%,,-,Yes,75.64%,72.27,85.74,86.24,73.11,55.31,78.01,66.96,14.57,0.4,1.04,51.61,80.77,3.96,50.9,26.4,35.4,46.02,21.61,35.65,45.61,94.86,1.3,62.01,48.05,75,3.9,8.33,30.52,68.87,48.84,27.91,,52.63,83.33,26.23
ApolloMed Accountable Care Organization Inc.,"California,  Mississippi",07/01/2012,Track1,No,26237,$340542884,$336609732,$3933151,1.15%,,-,Yes,90.42%,84.78,92.92,92.72,83.38,59.57,77.21,69.13,15.61,1.28,1.05,66.67,98.5,82.3,71.78,58.82,87.07,92.26,73.67,61.61,71.46,97.58,34.43,80.7,65.57,73.9,85.53,75.7,7.88,72.21,56.93,73.48,88.6,59.05,72.66,65.45
"AppleCare Medical ACO, LLC",California,04/01/2012,Track1,No,8837,$152601571,$154775792,$-2174221,-1.42%,,-,Yes,64.07%,79.59,93.22,92.22,80.51,59.79,72.3,67.34,15.02,1.42,1.27,39.58,37.33,9.45,48.17,29.22,36.44,55.36,2.27,38.27,55.95,28.66,9.73,36.99,30.97,55.75,52.04,61.76,55.22,52.89,34.11,62.4,85.42,32.67,41.21,60.83
Arizona Care Network LLC,"Nevada,  Arizona",01/01/2013,Track1,No,32923,$371225810,$386268603,$-15042793,-4.05%,,-,Yes,82.04%,80.26,90.61,90.31,82.89,57.27,73.41,70.63,15.68,0.79,1.17,44.82,74.55,48.11,59.06,54.09,71.24,92.53,35.77,53,63.53,65.13,33.98,72.9,61.08,74.19,87.1,90.83,20.51,73.73,56.73,89.46,85.27,78.88,84.4,81.87
"Arizona Connected Care, LLC",Arizona,04/01/2012,Track1,No,10166,$92473271,$97683050,$-5209779,-5.63%,,-,Yes,89.69%,77.92,91.44,90.3,82.98,60.72,76.48,72.36,14.76,0.66,1.16,61.76,96.13,54.41,53.48,60.1,71.6,86.25,58.58,45.68,70.59,83.3,28.4,68.88,60.71,74.49,78.06,73.46,21.86,73.78,52.12,86.87,91.53,69.53,77.55,73.18
Arizona Priority Care Plus,Arizona,07/01/2012,Track1,No,8233,$75299969,$75089789,$210180,0.28%,,-,Yes,82.08%,75.14,90.72,90.1,82.72,57.64,74.31,70.15,14.49,0.68,0.64,40.74,86.1,23.63,53.6,41.81,73.97,89.25,40.11,52.71,62.12,75.8,27.36,69.43,59.62,73.02,78.87,80.23,18.87,69.72,60.24,78.51,64.58,69.86,77.3,80.08
